"teams","pr_rnk","wins","loss","yr","conf"
"Louisville","3","31","6","2014","aac"
"Cincinnati",NA,"27","7","2014","aac"
"Connecticut","18","32","8","2014","aac"
"Southern Methodist",NA,"27","10","2014","aac"
"Memphis","13","24","10","2014","aac"
"Houston",NA,"17","16","2014","aac"
"Rutgers",NA,"12","21","2014","aac"
"Central Florida",NA,"13","18","2014","aac"
"Temple",NA,"9","22","2014","aac"
"South Florida",NA,"12","20","2014","aac"
"Southern Methodist","22","27","7","2015","aac"
"Tulsa",NA,"23","11","2015","aac"
"Temple","17","26","11","2015","aac"
"Cincinnati",NA,"23","11","2015","aac"
"Connecticut",NA,"20","15","2015","aac"
"Memphis",NA,"18","14","2015","aac"
"Tulane",NA,"15","16","2015","aac"
"East Carolina",NA,"14","19","2015","aac"
"Central Florida",NA,"12","18","2015","aac"
"Houston",NA,"13","19","2015","aac"
"South Florida",NA,"9","23","2015","aac"
"Temple",NA,"21","12","2016","aac"
"Southern Methodist",NA,"25","5","2016","aac"
"Houston","20","22","10","2016","aac"
"Cincinnati",NA,"22","11","2016","aac"
"Tulsa",NA,"20","12","2016","aac"
"Connecticut",NA,"25","11","2016","aac"
"Memphis",NA,"19","15","2016","aac"
"Central Florida",NA,"12","18","2016","aac"
"East Carolina",NA,"12","20","2016","aac"
"South Florida",NA,"8","25","2016","aac"
"Tulane",NA,"12","22","2016","aac"
"Southern Methodist",NA,"30","5","2017","aac"
"Cincinnati",NA,"30","6","2017","aac"
"Houston","18","21","11","2017","aac"
"Central Florida",NA,"24","12","2017","aac"
"Memphis",NA,"19","13","2017","aac"
"Connecticut",NA,"16","17","2017","aac"
"Tulsa",NA,"15","17","2017","aac"
"Temple",NA,"16","16","2017","aac"
"East Carolina",NA,"15","18","2017","aac"
"Tulane",NA,"6","25","2017","aac"
"South Florida",NA,"7","23","2017","aac"
"Cincinnati","12","23","2","2018","aac"
"Houston",NA,"19","5","2018","aac"
"Wichita State",NA,"19","5","2018","aac"
"Tulsa",NA,"14","10","2018","aac"
"Temple",NA,"15","10","2018","aac"
"Central Florida","7","15","9","2018","aac"
"Southern Methodist",NA,"15","10","2018","aac"
"Memphis",NA,"14","11","2018","aac"
"Connecticut",NA,"12","13","2018","aac"
"Tulane",NA,"13","11","2018","aac"
"East Carolina",NA,"9","14","2018","aac"
"South Florida",NA,"8","18","2018","aac"
"Wake Forest","13","25","6","2003","acc"
"Maryland","6","21","10","2003","acc"
"Duke",NA,"26","7","2003","acc"
"North Carolina State",NA,"18","13","2003","acc"
"Georgia Tech",NA,"16","15","2003","acc"
"Virginia",NA,"16","16","2003","acc"
"North Carolina",NA,"19","16","2003","acc"
"Clemson",NA,"15","13","2003","acc"
"Florida State",NA,"14","15","2003","acc"
"Duke","2","31","6","2004","acc"
"North Carolina State","20","21","10","2004","acc"
"Wake Forest",NA,"21","10","2004","acc"
"Georgia Tech","24","28","10","2004","acc"
"North Carolina","9","19","11","2004","acc"
"Maryland",NA,"20","12","2004","acc"
"Florida State",NA,"19","14","2004","acc"
"Virginia",NA,"18","13","2004","acc"
"Clemson",NA,"10","18","2004","acc"
"North Carolina","4","33","4","2005","acc"
"Wake Forest","2","27","6","2005","acc"
"Duke","11","27","6","2005","acc"
"Virginia Tech",NA,"16","14","2005","acc"
"Georgia Tech","19","20","12","2005","acc"
"Miami (FL)",NA,"16","13","2005","acc"
"North Carolina State",NA,"21","14","2005","acc"
"Maryland",NA,"19","13","2005","acc"
"Clemson","15","16","16","2005","acc"
"Florida State",NA,"12","19","2005","acc"
"Virginia","3","14","15","2005","acc"
"Duke","1","32","4","2006","acc"
"North Carolina",NA,"23","8","2006","acc"
"Boston College","11","28","8","2006","acc"
"North Carolina State",NA,"22","10","2006","acc"
"Florida State",NA,"20","10","2006","acc"
"Maryland",NA,"19","13","2006","acc"
"Virginia",NA,"15","15","2006","acc"
"Miami (FL)",NA,"18","16","2006","acc"
"Clemson",NA,"19","13","2006","acc"
"Virginia Tech","23","14","16","2006","acc"
"Georgia Tech",NA,"11","17","2006","acc"
"Wake Forest","18","17","17","2006","acc"
"North Carolina","2","31","7","2007","acc"
"Virginia","12","21","11","2007","acc"
"Virginia Tech",NA,"22","12","2007","acc"
"Boston College",NA,"21","12","2007","acc"
"Maryland","23","25","9","2007","acc"
"Georgia Tech",NA,"20","12","2007","acc"
"Duke",NA,"22","11","2007","acc"
"Clemson",NA,"25","11","2007","acc"
"Florida State",NA,"22","13","2007","acc"
"North Carolina State",NA,"20","16","2007","acc"
"Wake Forest","15","15","16","2007","acc"
"Miami (FL)",NA,"12","20","2007","acc"
"North Carolina","1","36","3","2008","acc"
"Duke","13","28","6","2008","acc"
"Clemson",NA,"24","10","2008","acc"
"Virginia Tech",NA,"21","14","2008","acc"
"Miami (FL)","21","23","11","2008","acc"
"Maryland",NA,"19","15","2008","acc"
"Georgia Tech",NA,"15","17","2008","acc"
"Wake Forest",NA,"17","13","2008","acc"
"Florida State",NA,"19","15","2008","acc"
"Virginia",NA,"17","16","2008","acc"
"Boston College",NA,"14","17","2008","acc"
"North Carolina State",NA,"15","16","2008","acc"
"North Carolina","1","34","4","2009","acc"
"Wake Forest","21","24","7","2009","acc"
"Duke","8","30","7","2009","acc"
"Florida State",NA,"25","10","2009","acc"
"Clemson",NA,"23","9","2009","acc"
"Boston College",NA,"22","12","2009","acc"
"Maryland",NA,"21","14","2009","acc"
"Virginia Tech",NA,"19","15","2009","acc"
"Miami (FL)","17","19","13","2009","acc"
"North Carolina State",NA,"16","14","2009","acc"
"Virginia",NA,"10","18","2009","acc"
"Georgia Tech",NA,"12","19","2009","acc"
"Duke","9","35","5","2010","acc"
"Maryland",NA,"24","9","2010","acc"
"Florida State","6","22","10","2010","acc"
"Virginia Tech","22","25","9","2010","acc"
"Wake Forest",NA,"20","11","2010","acc"
"Clemson",NA,"21","11","2010","acc"
"Georgia Tech",NA,"23","13","2010","acc"
"Boston College",NA,"15","16","2010","acc"
"Virginia",NA,"15","16","2010","acc"
"North Carolina",NA,"20","17","2010","acc"
"North Carolina State","24","20","16","2010","acc"
"Miami (FL)",NA,"20","13","2010","acc"
"North Carolina","8","29","8","2011","acc"
"Duke","1","32","5","2011","acc"
"Florida State",NA,"23","11","2011","acc"
"Clemson",NA,"22","12","2011","acc"
"Virginia Tech",NA,"22","12","2011","acc"
"Boston College","21","21","13","2011","acc"
"Maryland",NA,"19","14","2011","acc"
"Virginia",NA,"16","15","2011","acc"
"Miami (FL)",NA,"21","15","2011","acc"
"North Carolina State",NA,"15","16","2011","acc"
"Georgia Tech",NA,"13","18","2011","acc"
"Wake Forest",NA,"8","24","2011","acc"
"North Carolina","1","32","6","2012","acc"
"Duke","6","27","7","2012","acc"
"Florida State",NA,"25","10","2012","acc"
"Virginia",NA,"22","10","2012","acc"
"North Carolina State",NA,"24","13","2012","acc"
"Miami (FL)",NA,"20","13","2012","acc"
"Clemson",NA,"16","15","2012","acc"
"Maryland",NA,"17","15","2012","acc"
"Virginia Tech",NA,"16","17","2012","acc"
"Wake Forest",NA,"13","18","2012","acc"
"Georgia Tech",NA,"11","20","2012","acc"
"Boston College",NA,"9","22","2012","acc"
"Miami (FL)",NA,"29","7","2013","acc"
"Duke","8","30","6","2013","acc"
"North Carolina","11","25","11","2013","acc"
"North Carolina State",NA,"24","11","2013","acc"
"Virginia",NA,"23","12","2013","acc"
"Florida State","6","18","16","2013","acc"
"Maryland",NA,"25","13","2013","acc"
"Boston College",NA,"16","17","2013","acc"
"Georgia Tech",NA,"16","15","2013","acc"
"Wake Forest","25","13","18","2013","acc"
"Clemson",NA,"13","18","2013","acc"
"Virginia Tech",NA,"13","19","2013","acc"
"Virginia","24","30","7","2014","acc"
"Syracuse","8","28","6","2014","acc"
"Duke","4","26","9","2014","acc"
"North Carolina","12","24","10","2014","acc"
"Pittsburgh",NA,"26","10","2014","acc"
"Clemson",NA,"23","13","2014","acc"
"Florida State",NA,"22","14","2014","acc"
"North Carolina State","21","22","14","2014","acc"
"Maryland",NA,"17","15","2014","acc"
"Miami (FL)",NA,"17","16","2014","acc"
"Wake Forest",NA,"17","16","2014","acc"
"Georgia Tech",NA,"16","17","2014","acc"
"Notre Dame",NA,"15","17","2014","acc"
"Boston College",NA,"8","24","2014","acc"
"Virginia Tech",NA,"9","22","2014","acc"
"Virginia","9","30","4","2015","acc"
"Duke","4","35","4","2015","acc"
"Notre Dame",NA,"32","6","2015","acc"
"Louisville","8","27","9","2015","acc"
"North Carolina","6","26","12","2015","acc"
"Miami (FL)","23","25","13","2015","acc"
"North Carolina State",NA,"22","14","2015","acc"
"Syracuse",NA,"18","13","2015","acc"
"Pittsburgh",NA,"19","15","2015","acc"
"Clemson",NA,"16","15","2015","acc"
"Florida State",NA,"17","16","2015","acc"
"Wake Forest",NA,"13","19","2015","acc"
"Boston College",NA,"13","19","2015","acc"
"Georgia Tech",NA,"12","19","2015","acc"
"Virginia Tech",NA,"11","22","2015","acc"
"North Carolina","1","33","7","2016","acc"
"Virginia","6","29","8","2016","acc"
"Miami (FL)",NA,"27","8","2016","acc"
"Louisville",NA,"23","8","2016","acc"
"Duke","5","25","11","2016","acc"
"Notre Dame",NA,"24","12","2016","acc"
"Virginia Tech",NA,"20","15","2016","acc"
"Clemson","19","17","14","2016","acc"
"Pittsburgh",NA,"21","12","2016","acc"
"Syracuse",NA,"23","14","2016","acc"
"Florida State",NA,"20","14","2016","acc"
"Georgia Tech",NA,"21","15","2016","acc"
"North Carolina State",NA,"16","17","2016","acc"
"Wake Forest",NA,"11","20","2016","acc"
"Boston College",NA,"7","25","2016","acc"
"North Carolina","6","33","7","2017","acc"
"Florida State",NA,"26","9","2017","acc"
"Louisville","13","25","9","2017","acc"
"Notre Dame",NA,"26","10","2017","acc"
"Duke","1","28","9","2017","acc"
"Virginia","8","23","11","2017","acc"
"Virginia Tech",NA,"22","11","2017","acc"
"Miami (FL)",NA,"21","12","2017","acc"
"Syracuse",NA,"19","15","2017","acc"
"Wake Forest",NA,"19","14","2017","acc"
"Georgia Tech",NA,"21","16","2017","acc"
"Clemson","19","17","16","2017","acc"
"Pittsburgh",NA,"16","17","2017","acc"
"North Carolina State",NA,"15","17","2017","acc"
"Boston College",NA,"9","23","2017","acc"
"Virginia",NA,"23","2","2018","acc"
"Clemson",NA,"20","4","2018","acc"
"Duke","1","20","5","2018","acc"
"North Carolina","9","19","7","2018","acc"
"Louisville",NA,"18","8","2018","acc"
"Miami (FL)","14","18","6","2018","acc"
"Virginia Tech",NA,"18","7","2018","acc"
"Syracuse",NA,"17","8","2018","acc"
"North Carolina State","13","16","9","2018","acc"
"Florida State","16","17","8","2018","acc"
"Boston College",NA,"15","10","2018","acc"
"Notre Dame",NA,"15","10","2018","acc"
"Georgia Tech",NA,"11","14","2018","acc"
"Wake Forest",NA,"9","16","2018","acc"
"Pittsburgh",NA,"8","18","2018","acc"
"Boston University",NA,"20","11","2003","america-east"
"Vermont",NA,"21","12","2003","america-east"
"Hartford",NA,"16","13","2003","america-east"
"Binghamton",NA,"14","13","2003","america-east"
"Maine",NA,"14","16","2003","america-east"
"Northeastern",NA,"16","15","2003","america-east"
"Stony Brook",NA,"13","15","2003","america-east"
"Albany (NY)",NA,"7","21","2003","america-east"
"New Hampshire",NA,"5","23","2003","america-east"
"Boston University",NA,"23","6","2004","america-east"
"Vermont",NA,"22","9","2004","america-east"
"Northeastern",NA,"19","11","2004","america-east"
"Maine",NA,"20","10","2004","america-east"
"Binghamton",NA,"14","16","2004","america-east"
"Hartford",NA,"12","17","2004","america-east"
"New Hampshire",NA,"10","20","2004","america-east"
"Stony Brook",NA,"10","20","2004","america-east"
"Maryland-Baltimore County",NA,"7","21","2004","america-east"
"Albany (NY)",NA,"5","23","2004","america-east"
"Vermont",NA,"25","7","2005","america-east"
"Northeastern",NA,"21","10","2005","america-east"
"Boston University",NA,"20","9","2005","america-east"
"Albany (NY)",NA,"13","15","2005","america-east"
"Binghamton",NA,"12","17","2005","america-east"
"Maine",NA,"14","15","2005","america-east"
"Stony Brook",NA,"12","17","2005","america-east"
"New Hampshire",NA,"9","19","2005","america-east"
"Maryland-Baltimore County",NA,"11","18","2005","america-east"
"Hartford",NA,"8","20","2005","america-east"
"Albany (NY)",NA,"21","11","2006","america-east"
"Binghamton",NA,"16","13","2006","america-east"
"Boston University",NA,"12","16","2006","america-east"
"Hartford",NA,"13","15","2006","america-east"
"New Hampshire",NA,"12","17","2006","america-east"
"Vermont",NA,"13","17","2006","america-east"
"Maine",NA,"12","16","2006","america-east"
"Maryland-Baltimore County",NA,"10","19","2006","america-east"
"Stony Brook",NA,"4","24","2006","america-east"
"Vermont",NA,"25","8","2007","america-east"
"Albany (NY)",NA,"23","10","2007","america-east"
"Boston University",NA,"12","18","2007","america-east"
"Maine",NA,"12","18","2007","america-east"
"Maryland-Baltimore County",NA,"12","19","2007","america-east"
"Binghamton",NA,"13","16","2007","america-east"
"New Hampshire",NA,"10","20","2007","america-east"
"Hartford",NA,"13","18","2007","america-east"
"Stony Brook",NA,"9","20","2007","america-east"
"Maryland-Baltimore County",NA,"24","9","2008","america-east"
"Hartford",NA,"18","16","2008","america-east"
"Albany (NY)",NA,"15","15","2008","america-east"
"Vermont",NA,"16","15","2008","america-east"
"Binghamton",NA,"14","16","2008","america-east"
"Boston University",NA,"14","17","2008","america-east"
"New Hampshire",NA,"9","20","2008","america-east"
"Stony Brook",NA,"7","23","2008","america-east"
"Maine",NA,"7","23","2008","america-east"
"Binghamton",NA,"23","9","2009","america-east"
"Vermont",NA,"24","9","2009","america-east"
"Boston University",NA,"17","13","2009","america-east"
"New Hampshire",NA,"14","16","2009","america-east"
"Stony Brook",NA,"16","14","2009","america-east"
"Maryland-Baltimore County",NA,"15","17","2009","america-east"
"Albany (NY)",NA,"15","16","2009","america-east"
"Maine",NA,"9","21","2009","america-east"
"Hartford",NA,"7","26","2009","america-east"
"Stony Brook",NA,"22","10","2010","america-east"
"Vermont",NA,"25","10","2010","america-east"
"Maine",NA,"19","11","2010","america-east"
"Boston University",NA,"21","14","2010","america-east"
"Binghamton",NA,"13","18","2010","america-east"
"Hartford",NA,"8","22","2010","america-east"
"New Hampshire",NA,"13","17","2010","america-east"
"Maryland-Baltimore County",NA,"4","26","2010","america-east"
"Albany (NY)",NA,"7","25","2010","america-east"
"Vermont",NA,"23","9","2011","america-east"
"Boston University",NA,"21","14","2011","america-east"
"Albany (NY)",NA,"16","16","2011","america-east"
"Maine",NA,"15","15","2011","america-east"
"Stony Brook",NA,"15","17","2011","america-east"
"Hartford",NA,"11","20","2011","america-east"
"New Hampshire",NA,"12","18","2011","america-east"
"Binghamton",NA,"8","23","2011","america-east"
"Maryland-Baltimore County",NA,"5","25","2011","america-east"
"Stony Brook",NA,"22","10","2012","america-east"
"Vermont",NA,"24","12","2012","america-east"
"Boston University",NA,"16","16","2012","america-east"
"Albany (NY)",NA,"19","15","2012","america-east"
"New Hampshire",NA,"13","16","2012","america-east"
"Hartford",NA,"9","22","2012","america-east"
"Maine",NA,"12","17","2012","america-east"
"Maryland-Baltimore County",NA,"4","26","2012","america-east"
"Binghamton",NA,"2","29","2012","america-east"
"Stony Brook",NA,"25","8","2013","america-east"
"Vermont",NA,"21","12","2013","america-east"
"Boston University",NA,"17","13","2013","america-east"
"Hartford",NA,"17","14","2013","america-east"
"Albany (NY)",NA,"24","11","2013","america-east"
"Maine",NA,"11","19","2013","america-east"
"New Hampshire",NA,"9","20","2013","america-east"
"Maryland-Baltimore County",NA,"8","23","2013","america-east"
"Binghamton",NA,"3","27","2013","america-east"
"Vermont",NA,"22","11","2014","america-east"
"Stony Brook",NA,"23","11","2014","america-east"
"Hartford",NA,"17","16","2014","america-east"
"Albany (NY)",NA,"19","15","2014","america-east"
"Massachusetts-Lowell",NA,"10","18","2014","america-east"
"Maryland-Baltimore County",NA,"9","21","2014","america-east"
"Binghamton",NA,"7","23","2014","america-east"
"Maine",NA,"6","23","2014","america-east"
"New Hampshire",NA,"6","24","2014","america-east"
"Albany (NY)",NA,"24","9","2015","america-east"
"Stony Brook",NA,"23","12","2015","america-east"
"Vermont",NA,"20","14","2015","america-east"
"New Hampshire",NA,"19","13","2015","america-east"
"Hartford",NA,"14","16","2015","america-east"
"Massachusetts-Lowell",NA,"12","17","2015","america-east"
"Binghamton",NA,"6","26","2015","america-east"
"Maryland-Baltimore County",NA,"4","26","2015","america-east"
"Maine",NA,"3","27","2015","america-east"
"Stony Brook",NA,"26","7","2016","america-east"
"Albany (NY)",NA,"24","9","2016","america-east"
"Vermont",NA,"23","14","2016","america-east"
"New Hampshire",NA,"20","13","2016","america-east"
"Massachusetts-Lowell",NA,"11","18","2016","america-east"
"Binghamton",NA,"8","22","2016","america-east"
"Hartford",NA,"10","23","2016","america-east"
"Maine",NA,"8","22","2016","america-east"
"Maryland-Baltimore County",NA,"7","25","2016","america-east"
"Vermont",NA,"29","6","2017","america-east"
"Stony Brook",NA,"18","14","2017","america-east"
"New Hampshire",NA,"20","12","2017","america-east"
"Albany (NY)",NA,"21","14","2017","america-east"
"Maryland-Baltimore County",NA,"21","13","2017","america-east"
"Massachusetts-Lowell",NA,"11","20","2017","america-east"
"Hartford",NA,"9","23","2017","america-east"
"Binghamton",NA,"12","20","2017","america-east"
"Maine",NA,"7","25","2017","america-east"
"Vermont",NA,"21","5","2018","america-east"
"Maryland-Baltimore County",NA,"18","9","2018","america-east"
"Hartford",NA,"14","11","2018","america-east"
"Albany (NY)",NA,"19","8","2018","america-east"
"New Hampshire",NA,"10","16","2018","america-east"
"Stony Brook",NA,"10","16","2018","america-east"
"Massachusetts-Lowell",NA,"9","15","2018","america-east"
"Maine",NA,"6","21","2018","america-east"
"Binghamton",NA,"10","16","2018","america-east"
"Saint Joseph's",NA,"23","7","2003","atlantic-10"
"Temple",NA,"18","16","2003","atlantic-10"
"Rhode Island",NA,"19","12","2003","atlantic-10"
"Massachusetts",NA,"11","18","2003","atlantic-10"
"Fordham",NA,"2","26","2003","atlantic-10"
"St. Bonaventure",NA,"13","14","2003","atlantic-10"
"Xavier",NA,"26","6","2003","atlantic-10"
"Dayton",NA,"24","6","2003","atlantic-10"
"Richmond",NA,"15","14","2003","atlantic-10"
"La Salle","10","12","17","2003","atlantic-10"
"George Washington",NA,"12","17","2003","atlantic-10"
"Duquesne",NA,"9","21","2003","atlantic-10"
"Saint Joseph's","17","30","2","2004","atlantic-10"
"Temple",NA,"15","14","2004","atlantic-10"
"Rhode Island",NA,"20","14","2004","atlantic-10"
"Massachusetts",NA,"10","19","2004","atlantic-10"
"St. Bonaventure",NA,"7","21","2004","atlantic-10"
"Fordham",NA,"6","22","2004","atlantic-10"
"Dayton",NA,"24","9","2004","atlantic-10"
"George Washington",NA,"18","12","2004","atlantic-10"
"Xavier",NA,"26","11","2004","atlantic-10"
"Richmond",NA,"20","13","2004","atlantic-10"
"Duquesne",NA,"12","17","2004","atlantic-10"
"La Salle",NA,"10","20","2004","atlantic-10"
"Saint Joseph's",NA,"24","12","2005","atlantic-10"
"Temple",NA,"16","14","2005","atlantic-10"
"Massachusetts",NA,"16","12","2005","atlantic-10"
"Fordham",NA,"13","16","2005","atlantic-10"
"Rhode Island",NA,"6","22","2005","atlantic-10"
"St. Bonaventure",NA,"2","26","2005","atlantic-10"
"George Washington",NA,"22","8","2005","atlantic-10"
"Dayton",NA,"18","11","2005","atlantic-10"
"Xavier",NA,"17","12","2005","atlantic-10"
"Richmond",NA,"14","15","2005","atlantic-10"
"La Salle",NA,"10","19","2005","atlantic-10"
"Duquesne",NA,"8","22","2005","atlantic-10"
"George Washington","21","27","3","2006","atlantic-10"
"Charlotte",NA,"19","13","2006","atlantic-10"
"La Salle",NA,"18","10","2006","atlantic-10"
"Saint Louis",NA,"16","13","2006","atlantic-10"
"Saint Joseph's",NA,"19","14","2006","atlantic-10"
"Fordham",NA,"16","16","2006","atlantic-10"
"Xavier",NA,"21","11","2006","atlantic-10"
"Temple",NA,"17","15","2006","atlantic-10"
"Rhode Island",NA,"14","14","2006","atlantic-10"
"Massachusetts",NA,"13","15","2006","atlantic-10"
"Dayton",NA,"14","17","2006","atlantic-10"
"Richmond",NA,"13","17","2006","atlantic-10"
"St. Bonaventure",NA,"8","19","2006","atlantic-10"
"Duquesne",NA,"3","24","2006","atlantic-10"
"Xavier",NA,"25","9","2007","atlantic-10"
"Massachusetts",NA,"24","9","2007","atlantic-10"
"George Washington",NA,"23","9","2007","atlantic-10"
"Fordham",NA,"18","12","2007","atlantic-10"
"Rhode Island",NA,"19","14","2007","atlantic-10"
"Saint Joseph's",NA,"18","14","2007","atlantic-10"
"Dayton",NA,"19","12","2007","atlantic-10"
"Saint Louis",NA,"20","13","2007","atlantic-10"
"Charlotte",NA,"14","16","2007","atlantic-10"
"Temple",NA,"12","18","2007","atlantic-10"
"Duquesne",NA,"10","19","2007","atlantic-10"
"Richmond",NA,"8","22","2007","atlantic-10"
"St. Bonaventure",NA,"7","22","2007","atlantic-10"
"La Salle",NA,"10","20","2007","atlantic-10"
"Xavier",NA,"30","7","2008","atlantic-10"
"Temple",NA,"21","13","2008","atlantic-10"
"Massachusetts",NA,"25","11","2008","atlantic-10"
"Saint Joseph's",NA,"21","13","2008","atlantic-10"
"Charlotte",NA,"20","14","2008","atlantic-10"
"Richmond",NA,"16","15","2008","atlantic-10"
"Dayton",NA,"23","11","2008","atlantic-10"
"La Salle",NA,"15","17","2008","atlantic-10"
"Rhode Island",NA,"21","12","2008","atlantic-10"
"Duquesne",NA,"17","13","2008","atlantic-10"
"Saint Louis",NA,"16","15","2008","atlantic-10"
"Fordham",NA,"12","17","2008","atlantic-10"
"George Washington",NA,"9","17","2008","atlantic-10"
"St. Bonaventure",NA,"8","22","2008","atlantic-10"
"Xavier",NA,"27","8","2009","atlantic-10"
"Dayton",NA,"27","8","2009","atlantic-10"
"Rhode Island",NA,"23","11","2009","atlantic-10"
"Temple",NA,"22","12","2009","atlantic-10"
"Duquesne",NA,"21","13","2009","atlantic-10"
"La Salle",NA,"18","13","2009","atlantic-10"
"Richmond",NA,"20","16","2009","atlantic-10"
"Saint Joseph's",NA,"17","15","2009","atlantic-10"
"Saint Louis",NA,"18","14","2009","atlantic-10"
"Massachusetts",NA,"12","18","2009","atlantic-10"
"St. Bonaventure",NA,"15","15","2009","atlantic-10"
"Charlotte",NA,"11","20","2009","atlantic-10"
"George Washington",NA,"10","18","2009","atlantic-10"
"Fordham",NA,"3","25","2009","atlantic-10"
"Temple",NA,"29","6","2010","atlantic-10"
"Xavier",NA,"26","9","2010","atlantic-10"
"Richmond",NA,"26","9","2010","atlantic-10"
"Saint Louis",NA,"23","13","2010","atlantic-10"
"Rhode Island",NA,"26","10","2010","atlantic-10"
"Charlotte",NA,"19","12","2010","atlantic-10"
"Dayton",NA,"25","12","2010","atlantic-10"
"St. Bonaventure",NA,"15","16","2010","atlantic-10"
"Duquesne",NA,"16","16","2010","atlantic-10"
"George Washington",NA,"16","15","2010","atlantic-10"
"Massachusetts","21","12","20","2010","atlantic-10"
"Saint Joseph's",NA,"11","20","2010","atlantic-10"
"La Salle",NA,"12","18","2010","atlantic-10"
"Fordham",NA,"2","26","2010","atlantic-10"
"Xavier",NA,"24","8","2011","atlantic-10"
"Temple",NA,"26","8","2011","atlantic-10"
"Richmond",NA,"29","8","2011","atlantic-10"
"Duquesne",NA,"19","13","2011","atlantic-10"
"George Washington","22","17","14","2011","atlantic-10"
"Rhode Island",NA,"20","14","2011","atlantic-10"
"St. Bonaventure",NA,"16","15","2011","atlantic-10"
"Dayton",NA,"22","14","2011","atlantic-10"
"Massachusetts",NA,"15","15","2011","atlantic-10"
"La Salle",NA,"15","18","2011","atlantic-10"
"Saint Louis",NA,"12","19","2011","atlantic-10"
"Saint Joseph's",NA,"11","22","2011","atlantic-10"
"Charlotte",NA,"10","20","2011","atlantic-10"
"Fordham",NA,"7","21","2011","atlantic-10"
"Temple",NA,"24","8","2012","atlantic-10"
"Saint Louis",NA,"26","8","2012","atlantic-10"
"Xavier",NA,"23","13","2012","atlantic-10"
"St. Bonaventure","14","20","12","2012","atlantic-10"
"Massachusetts",NA,"25","12","2012","atlantic-10"
"La Salle",NA,"21","13","2012","atlantic-10"
"Dayton",NA,"20","13","2012","atlantic-10"
"Saint Joseph's",NA,"20","14","2012","atlantic-10"
"Duquesne",NA,"16","15","2012","atlantic-10"
"Richmond",NA,"16","16","2012","atlantic-10"
"Charlotte",NA,"13","17","2012","atlantic-10"
"George Washington",NA,"10","21","2012","atlantic-10"
"Rhode Island",NA,"7","24","2012","atlantic-10"
"Fordham",NA,"10","19","2012","atlantic-10"
"Saint Louis",NA,"28","7","2013","atlantic-10"
"Virginia Commonwealth",NA,"27","9","2013","atlantic-10"
"Butler",NA,"27","9","2013","atlantic-10"
"La Salle",NA,"24","10","2013","atlantic-10"
"Temple",NA,"24","10","2013","atlantic-10"
"Massachusetts",NA,"21","12","2013","atlantic-10"
"Xavier",NA,"17","14","2013","atlantic-10"
"Charlotte",NA,"21","12","2013","atlantic-10"
"Saint Joseph's",NA,"18","14","2013","atlantic-10"
"Richmond",NA,"19","15","2013","atlantic-10"
"Dayton",NA,"17","14","2013","atlantic-10"
"St. Bonaventure",NA,"14","15","2013","atlantic-10"
"George Washington",NA,"13","17","2013","atlantic-10"
"Rhode Island",NA,"8","21","2013","atlantic-10"
"Fordham",NA,"7","24","2013","atlantic-10"
"Duquesne",NA,"8","22","2013","atlantic-10"
"Saint Louis",NA,"27","7","2014","atlantic-10"
"Virginia Commonwealth","14","26","9","2014","atlantic-10"
"George Washington",NA,"24","9","2014","atlantic-10"
"Saint Joseph's",NA,"24","10","2014","atlantic-10"
"Massachusetts",NA,"24","9","2014","atlantic-10"
"Dayton",NA,"26","11","2014","atlantic-10"
"Richmond",NA,"19","14","2014","atlantic-10"
"La Salle",NA,"15","16","2014","atlantic-10"
"St. Bonaventure",NA,"18","15","2014","atlantic-10"
"Duquesne",NA,"13","17","2014","atlantic-10"
"Rhode Island",NA,"14","18","2014","atlantic-10"
"George Mason",NA,"11","20","2014","atlantic-10"
"Fordham",NA,"10","21","2014","atlantic-10"
"Davidson",NA,"24","8","2015","atlantic-10"
"Dayton","15","27","9","2015","atlantic-10"
"Rhode Island",NA,"23","10","2015","atlantic-10"
"Virginia Commonwealth",NA,"26","10","2015","atlantic-10"
"Richmond",NA,"21","14","2015","atlantic-10"
"George Washington",NA,"22","13","2015","atlantic-10"
"St. Bonaventure",NA,"18","13","2015","atlantic-10"
"Massachusetts",NA,"17","15","2015","atlantic-10"
"La Salle",NA,"17","16","2015","atlantic-10"
"Saint Joseph's",NA,"13","18","2015","atlantic-10"
"Duquesne",NA,"12","19","2015","atlantic-10"
"Fordham",NA,"10","21","2015","atlantic-10"
"George Mason",NA,"9","22","2015","atlantic-10"
"Saint Louis",NA,"11","21","2015","atlantic-10"
"Dayton",NA,"25","8","2016","atlantic-10"
"St. Bonaventure",NA,"22","9","2016","atlantic-10"
"Virginia Commonwealth",NA,"25","11","2016","atlantic-10"
"Saint Joseph's",NA,"28","8","2016","atlantic-10"
"George Washington",NA,"28","10","2016","atlantic-10"
"Davidson",NA,"20","13","2016","atlantic-10"
"Rhode Island",NA,"17","15","2016","atlantic-10"
"Fordham",NA,"17","14","2016","atlantic-10"
"Richmond",NA,"16","16","2016","atlantic-10"
"Duquesne",NA,"17","17","2016","atlantic-10"
"Massachusetts",NA,"14","18","2016","atlantic-10"
"George Mason",NA,"11","21","2016","atlantic-10"
"Saint Louis",NA,"11","21","2016","atlantic-10"
"La Salle",NA,"9","22","2016","atlantic-10"
"Dayton","23","24","8","2017","atlantic-10"
"Virginia Commonwealth",NA,"26","9","2017","atlantic-10"
